ID_0,NAME_0,OCCUPANCY,MACRO_TAXO,TAXONOMY,AREA_SQM,BUILDINGS,COST_CONTENTS_USD,COST_NONSTRUCTURAL_USD,COST_STRUCTURAL_USD,OCCUPANTS_PER_ASSET,TOTAL_REPL_COST_USD
PRI,Puerto Rico,Com,MUR,MUR+CLBRH/LWAL+DNO/H2/COM,1256426.1802,1083.3,2107203050,1521863813,350366437,0.0,3979433300
PRI,Puerto Rico,Com,RC,CR/LFM+CDL+DUL/H2/COM,239283.4848,208.1,376592272,277198803,66419840,0.0,720210922
PRI,Puerto Rico,Com,RC,CR/LFM+CDM+DUM/H2/COM,938229.2602,763.0,1585511149,1141041832,262365402,0.0,2988918345
PRI,Puerto Rico,Com,RC,CR/LWAL+CDL+DUL/H2/COM,637034.1218,565.5,1059182956,766017621,177862726,0.0,2003063286
PRI,Puerto Rico,Com,RC,CR/LWAL+CDM+DUM/H2/COM,1838929.315,1497.0,3107601814,2236441947,514236190,0.0,5858279867
PRI,Puerto Rico,Com,S,S/LFM+CDL+DUL/H2/COM,202708.5063,189.3,317021047,233936996,56159931,0.0,607117886
PRI,Puerto Rico,Com,S,S/LFM+CDM+DUM/H2/COM,687893.8336,544.1,1153694352,833221029,191825783,0.0,2178741214
PRI,Puerto Rico,Com,W,W/LFM+CDM+DUM/H2/COM,310811.6608,297.3,454132610,351318073,82870807,0.0,888321490
PRI,Puerto Rico,Ind,MUR,MUR+CLBRH/LWAL+DNO/H2/IND,312682.4616,205.9,437084600,286118237,53286563,0.0,776489400
PRI,Puerto Rico,Ind,RC,CR/LFM+CDL+DUL/H2/IND,44270.7519,27.2,59806866,39960157,7442168,0.0,107209187
PRI,Puerto Rico,Ind,RC,CR/LFM+CDM+DUM/H2/IND,172736.1216,94.4,240561242,157862484,29400240,0.0,427823966
PRI,Puerto Rico,Ind,RC,CR/LWAL+CDL+DUL/H2/IND,156549.2336,96.4,216171677,142570767,26552329,0.0,385294762
PRI,Puerto Rico,Ind,RC,CR/LWAL+CDM+DUM/H2/IND,457750.7235,268.0,637487301,418335572,77910649,0.0,1133733510
PRI,Puerto Rico,Ind,S,S/LFM+CDL+DUL/H2/IND,78170.6154,56.9,109271150,71529554,13321646,0.0,194122350
PRI,Puerto Rico,Ind,S,S/LFM+CDM+DUM/H2/IND,234511.8462,149.0,327813450,214588683,39964917,0.0,582367050
PRI,Puerto Rico,Ind,W,W/LFM+CDM+DUM/H2/IND,68792.2611,47.5,102689910,64188640,11954460,0.0,178833010
PRI,Puerto Rico,Res,MUR,MUR+CLBRH/LWAL+DNO/H2/RES,178220363.1043,1026616.2,85341668560,135096171157,35588481955,2435528.592,256026321680
PRI,Puerto Rico,Res,RC,CR/LFM+CDL+DUL/H2/RES,1411193.8617,1556.1,917205709,1577712384,256729987,17476.8777,2751648119
PRI,Puerto Rico,Res,RC,CR/LFM+CDM+DUM/H2/RES,2885063.7618,3074.6,1877959187,3232576184,523409537,35823.7791,5633944879
PRI,Puerto Rico,Res,RC,CR/LWAL+CDL+DUL/H2/RES,9557164.9725,9846.3,6266085959,10773721937,1758711769,118994.2688,18798519651
PRI,Puerto Rico,Res,RC,CR/LWAL+CDM+DUM/H2/RES,35848828.7644,37168.2,23449064411,40345395415,6553690835,446428.8471,70348150600
PRI,Puerto Rico,Res,W,W/LFM+CDL+DUL/H1/RES,29853.1922,687.6,5869600,8885725,2867875,365.843,17623200
PRI,Puerto Rico,Res,W,W/LFM+CDM+DUM/H1/RES,119412.7689,2750.4,23478400,35542883,11471517,1463.4073,70492800
PRI,Puerto Rico,Res,W,W/LFM+CDM+DUM/H2/RES,48239593.7338,316380.0,21652204100,33539282660,9765329360,669707.3851,64956816120
